# We remove any regions for which agriculture and land use are not modeled.
region,supplysector,subsector,technology,year,share.weight
South Africa,regional othergrain,imported othergrain,imported othergrain,2025,1
South America_Northern,regional othergrain,imported othergrain,imported othergrain,2025,1
South America_Southern,regional othergrain,imported othergrain,imported othergrain,2025,1
South Asia,regional othergrain,imported othergrain,imported othergrain,2025,1
South Korea,regional othergrain,imported othergrain,imported othergrain,2025,1
Southeast Asia,regional othergrain,imported othergrain,imported othergrain,2025,1
Taiwan,regional othergrain,imported othergrain,imported othergrain,2025,1
Argentina,regional othergrain,imported othergrain,imported othergrain,2025,1
Colombia,regional othergrain,imported othergrain,imported othergrain,2025,1
USA,regional othergrain,imported othergrain,imported othergrain,2030,1
Africa_Eastern,regional othergrain,imported othergrain,imported othergrain,2030,1
Africa_Northern,regional othergrain,imported othergrain,imported othergrain,2030,1
Africa_Southern,regional othergrain,imported othergrain,imported othergrain,2030,1
Africa_Western,regional othergrain,imported othergrain,imported othergrain,2030,1
Australia_NZ,regional othergrain,imported othergrain,imported othergrain,2030,1
Brazil,regional othergrain,imported othergrain,imported othergrain,2030,1
Canada,regional othergrain,imported othergrain,imported othergrain,2030,1
Central America and Caribbean,regional othergrain,imported othergrain,imported othergrain,2030,1
Central Asia,regional othergrain,imported othergrain,imported othergrain,2030,1
China,regional othergrain,imported othergrain,imported othergrain,2030,1
EU-12,regional othergrain,imported othergrain,imported othergrain,2030,1
EU-15,regional othergrain,imported othergrain,imported othergrain,2030,1
Europe_Eastern,regional othergrain,imported othergrain,imported othergrain,2030,1
Europe_Non_EU,regional othergrain,imported othergrain,imported othergrain,2030,1
European Free Trade Association,regional othergrain,imported othergrain,imported othergrain,2030,1
India,regional othergrain,imported othergrain,imported othergrain,2030,1
Indonesia,regional othergrain,imported othergrain,imported othergrain,2030,1
Japan,regional othergrain,imported othergrain,imported othergrain,2030,1
Mexico,regional othergrain,imported othergrain,imported othergrain,2030,1
Middle East,regional othergrain,imported othergrain,imported othergrain,2030,1
Pakistan,regional othergrain,imported othergrain,imported othergrain,2030,1
Russia,regional othergrain,imported othergrain,imported othergrain,2030,1
South Africa,regional othergrain,imported othergrain,imported othergrain,2030,1
South America_Northern,regional othergrain,imported othergrain,imported othergrain,2030,1
South America_Southern,regional othergrain,imported othergrain,imported othergrain,2030,1
South Asia,regional othergrain,imported othergrain,imported othergrain,2030,1
South Korea,regional othergrain,imported othergrain,imported othergrain,2030,1
Southeast Asia,regional othergrain,imported othergrain,imported othergrain,2030,1
Taiwan,regional othergrain,imported othergrain,imported othergrain,2030,1
Argentina,regional othergrain,imported othergrain,imported othergrain,2030,1
Colombia,regional othergrain,imported othergrain,imported othergrain,2030,1
USA,regional othergrain,imported othergrain,imported othergrain,2035,1
Africa_Eastern,regional othergrain,imported othergrain,imported othergrain,2035,1
Africa_Northern,regional othergrain,imported othergrain,imported othergrain,2035,1
Africa_Southern,regional othergrain,imported othergrain,imported othergrain,2035,1
Africa_Western,regional othergrain,imported othergrain,imported othergrain,2035,1
Australia_NZ,regional othergrain,imported othergrain,imported othergrain,2035,1
Brazil,regional othergrain,imported othergrain,imported othergrain,2035,1
Canada,regional othergrain,imported othergrain,imported othergrain,2035,1
Central America and Caribbean,regional othergrain,imported othergrain,imported othergrain,2035,1
Central Asia,regional othergrain,imported othergrain,imported othergrain,2035,1
China,regional othergrain,imported othergrain,imported othergrain,2035,1
EU-12,regional othergrain,imported othergrain,imported othergrain,2035,1
EU-15,regional othergrain,imported othergrain,imported othergrain,2035,1
Europe_Eastern,regional othergrain,imported othergrain,imported othergrain,2035,1
Europe_Non_EU,regional othergrain,imported othergrain,imported othergrain,2035,1
European Free Trade Association,regional othergrain,imported othergrain,imported othergrain,2035,1
India,regional othergrain,imported othergrain,imported othergrain,2035,1
Indonesia,regional othergrain,imported othergrain,imported othergrain,2035,1
Japan,regional othergrain,imported othergrain,imported othergrain,2035,1
Mexico,regional othergrain,imported othergrain,imported othergrain,2035,1
Middle East,regional othergrain,imported othergrain,imported othergrain,2035,1
Pakistan,regional othergrain,imported othergrain,imported othergrain,2035,1
Russia,regional othergrain,imported othergrain,imported othergrain,2035,1
South Africa,regional othergrain,imported othergrain,imported othergrain,2035,1
South America_Northern,regional othergrain,imported othergrain,imported othergrain,2035,1
South America_Southern,regional othergrain,imported othergrain,imported othergrain,2035,1
South Asia,regional othergrain,imported othergrain,imported othergrain,2035,1
South Korea,regional othergrain,imported othergrain,imported othergrain,2035,1
Southeast Asia,regional othergrain,imported othergrain,imported othergrain,2035,1
Taiwan,regional othergrain,imported othergrain,imported othergrain,2035,1
Argentina,regional othergrain,imported othergrain,imported othergrain,2035,1
Colombia,regional othergrain,imported othergrain,imported othergrain,2035,1
USA,regional othergrain,imported othergrain,imported othergrain,2040,1
Africa_Eastern,regional othergrain,imported othergrain,imported othergrain,2040,1
Africa_Northern,regional othergrain,imported othergrain,imported othergrain,2040,1
Africa_Southern,regional othergrain,imported othergrain,imported othergrain,2040,1
Africa_Western,regional othergrain,imported othergrain,imported othergrain,2040,1
Australia_NZ,regional othergrain,imported othergrain,imported othergrain,2040,1
Brazil,regional othergrain,imported othergrain,imported othergrain,2040,1
Canada,regional othergrain,imported othergrain,imported othergrain,2040,1
Central America and Caribbean,regional othergrain,imported othergrain,imported othergrain,2040,1
Central Asia,regional othergrain,imported othergrain,imported othergrain,2040,1
China,regional othergrain,imported othergrain,imported othergrain,2040,1
EU-12,regional othergrain,imported othergrain,imported othergrain,2040,1
EU-15,regional othergrain,imported othergrain,imported othergrain,2040,1
Europe_Eastern,regional othergrain,imported othergrain,imported othergrain,2040,1
Europe_Non_EU,regional othergrain,imported othergrain,imported othergrain,2040,1
European Free Trade Association,regional othergrain,imported othergrain,imported othergrain,2040,1
India,regional othergrain,imported othergrain,imported othergrain,2040,1
Indonesia,regional othergrain,imported othergrain,imported othergrain,2040,1
Japan,regional othergrain,imported othergrain,imported othergrain,2040,1
Mexico,regional othergrain,imported othergrain,imported othergrain,2040,1
Middle East,regional othergrain,imported othergrain,imported othergrain,2040,1
Pakistan,regional othergrain,imported othergrain,imported othergrain,2040,1
Russia,regional othergrain,imported othergrain,imported othergrain,2040,1
South Africa,regional othergrain,imported othergrain,imported othergrain,2040,1
South America_Northern,regional othergrain,imported othergrain,imported othergrain,2040,1
South America_Southern,regional othergrain,imported othergrain,imported othergrain,2040,1
South Asia,regional othergrain,imported othergrain,imported othergrain,2040,1
South Korea,regional othergrain,imported othergrain,imported othergrain,2040,1
Southeast Asia,regional othergrain,imported othergrain,imported othergrain,2040,1
Taiwan,regional othergrain,imported othergrain,imported othergrain,2040,1
Argentina,regional othergrain,imported othergrain,imported othergrain,2040,1
Colombia,regional othergrain,imported othergrain,imported othergrain,2040,1
USA,regional othergrain,imported othergrain,imported othergrain,2045,1
Africa_Eastern,regional othergrain,imported othergrain,imported othergrain,2045,1
Africa_Northern,regional othergrain,imported othergrain,imported othergrain,2045,1
Africa_Southern,regional othergrain,imported othergrain,imported othergrain,2045,1
Africa_Western,regional othergrain,imported othergrain,imported othergrain,2045,1
Australia_NZ,regional othergrain,imported othergrain,imported othergrain,2045,1
Brazil,regional othergrain,imported othergrain,imported othergrain,2045,1
Canada,regional othergrain,imported othergrain,imported othergrain,2045,1
Central America and Caribbean,regional othergrain,imported othergrain,imported othergrain,2045,1
Central Asia,regional othergrain,imported othergrain,imported othergrain,2045,1
China,regional othergrain,imported othergrain,imported othergrain,2045,1
EU-12,regional othergrain,imported othergrain,imported othergrain,2045,1
EU-15,regional othergrain,imported othergrain,imported othergrain,2045,1
Europe_Eastern,regional othergrain,imported othergrain,imported othergrain,2045,1
Europe_Non_EU,regional othergrain,imported othergrain,imported othergrain,2045,1
European Free Trade Association,regional othergrain,imported othergrain,imported othergrain,2045,1
India,regional othergrain,imported othergrain,imported othergrain,2045,1
Indonesia,regional othergrain,imported othergrain,imported othergrain,2045,1
Japan,regional othergrain,imported othergrain,imported othergrain,2045,1
Mexico,regional othergrain,imported othergrain,imported othergrain,2045,1
Middle East,regional othergrain,imported othergrain,imported othergrain,2045,1
Pakistan,regional othergrain,imported othergrain,imported othergrain,2045,1
Russia,regional othergrain,imported othergrain,imported othergrain,2045,1
South Africa,regional othergrain,imported othergrain,imported othergrain,2045,1
South America_Northern,regional othergrain,imported othergrain,imported othergrain,2045,1
South America_Southern,regional othergrain,imported othergrain,imported othergrain,2045,1
South Asia,regional othergrain,imported othergrain,imported othergrain,2045,1
South Korea,regional othergrain,imported othergrain,imported othergrain,2045,1
Southeast Asia,regional othergrain,imported othergrain,imported othergrain,2045,1
Taiwan,regional othergrain,imported othergrain,imported othergrain,2045,1
Argentina,regional othergrain,imported othergrain,imported othergrain,2045,1
Colombia,regional othergrain,imported othergrain,imported othergrain,2045,1
USA,regional othergrain,imported othergrain,imported othergrain,2050,1
Africa_Eastern,regional othergrain,imported othergrain,imported othergrain,2050,1
Africa_Northern,regional othergrain,imported othergrain,imported othergrain,2050,1
Africa_Southern,regional othergrain,imported othergrain,imported othergrain,2050,1
Africa_Western,regional othergrain,imported othergrain,imported othergrain,2050,1
Australia_NZ,regional othergrain,imported othergrain,imported othergrain,2050,1
Brazil,regional othergrain,imported othergrain,imported othergrain,2050,1
Canada,regional othergrain,imported othergrain,imported othergrain,2050,1
Central America and Caribbean,regional othergrain,imported othergrain,imported othergrain,2050,1
Central Asia,regional othergrain,imported othergrain,imported othergrain,2050,1
China,regional othergrain,imported othergrain,imported othergrain,2050,1
EU-12,regional othergrain,imported othergrain,imported othergrain,2050,1
EU-15,regional othergrain,imported othergrain,imported othergrain,2050,1
Europe_Eastern,regional othergrain,imported othergrain,imported othergrain,2050,1
Europe_Non_EU,regional othergrain,imported othergrain,imported othergrain,2050,1
European Free Trade Association,regional othergrain,imported othergrain,imported othergrain,2050,1
India,regional othergrain,imported othergrain,imported othergrain,2050,1
Indonesia,regional othergrain,imported othergrain,imported othergrain,2050,1
Japan,regional othergrain,imported othergrain,imported othergrain,2050,1
Mexico,regional othergrain,imported othergrain,imported othergrain,2050,1
Middle East,regional othergrain,imported othergrain,imported othergrain,2050,1
Pakistan,regional othergrain,imported othergrain,imported othergrain,2050,1
Russia,regional othergrain,imported othergrain,imported othergrain,2050,1
South Africa,regional othergrain,imported othergrain,imported othergrain,2050,1
South America_Northern,regional othergrain,imported othergrain,imported othergrain,2050,1
South America_Southern,regional othergrain,imported othergrain,imported othergrain,2050,1
South Asia,regional othergrain,imported othergrain,imported othergrain,2050,1
South Korea,regional othergrain,imported othergrain,imported othergrain,2050,1
Southeast Asia,regional othergrain,imported othergrain,imported othergrain,2050,1
Taiwan,regional othergrain,imported othergrain,imported othergrain,2050,1
Argentina,regional othergrain,imported othergrain,imported othergrain,2050,1
Colombia,regional othergrain,imported othergrain,imported othergrain,2050,1
USA,regional othergrain,imported othergrain,imported othergrain,2055,1
Africa_Eastern,regional othergrain,imported othergrain,imported othergrain,2055,1
Africa_Northern,regional othergrain,imported othergrain,imported othergrain,2055,1
Africa_Southern,regional othergrain,imported othergrain,imported othergrain,2055,1
Africa_Western,regional othergrain,imported othergrain,imported othergrain,2055,1
Australia_NZ,regional othergrain,imported othergrain,imported othergrain,2055,1
Brazil,regional othergrain,imported othergrain,imported othergrain,2055,1
Canada,regional othergrain,imported othergrain,imported othergrain,2055,1
Central America and Caribbean,regional othergrain,imported othergrain,imported othergrain,2055,1
Central Asia,regional othergrain,imported othergrain,imported othergrain,2055,1
China,regional othergrain,imported othergrain,imported othergrain,2055,1
EU-12,regional othergrain,imported othergrain,imported othergrain,2055,1
EU-15,regional othergrain,imported othergrain,imported othergrain,2055,1
Europe_Eastern,regional othergrain,imported othergrain,imported othergrain,2055,1
Europe_Non_EU,regional othergrain,imported othergrain,imported othergrain,2055,1
European Free Trade Association,regional othergrain,imported othergrain,imported othergrain,2055,1
India,regional othergrain,imported othergrain,imported othergrain,2055,1
Indonesia,regional othergrain,imported othergrain,imported othergrain,2055,1
Japan,regional othergrain,imported othergrain,imported othergrain,2055,1
Mexico,regional othergrain,imported othergrain,imported othergrain,2055,1
Middle East,regional othergrain,imported othergrain,imported othergrain,2055,1
Pakistan,regional othergrain,imported othergrain,imported othergrain,2055,1
Russia,regional othergrain,imported othergrain,imported othergrain,2055,1
South Africa,regional othergrain,imported othergrain,imported othergrain,2055,1
South America_Northern,regional othergrain,imported othergrain,imported othergrain,2055,1
South America_Southern,regional othergrain,imported othergrain,imported othergrain,2055,1
South Asia,regional othergrain,imported othergrain,imported othergrain,2055,1
South Korea,regional othergrain,imported othergrain,imported othergrain,2055,1
Southeast Asia,regional othergrain,imported othergrain,imported othergrain,2055,1
Taiwan,regional othergrain,imported othergrain,imported othergrain,2055,1
Argentina,regional othergrain,imported othergrain,imported othergrain,2055,1
Colombia,regional othergrain,imported othergrain,imported othergrain,2055,1
USA,regional othergrain,imported othergrain,imported othergrain,2060,1
Africa_Eastern,regional othergrain,imported othergrain,imported othergrain,2060,1
Africa_Northern,regional othergrain,imported othergrain,imported othergrain,2060,1
Africa_Southern,regional othergrain,imported othergrain,imported othergrain,2060,1
Africa_Western,regional othergrain,imported othergrain,imported othergrain,2060,1
Australia_NZ,regional othergrain,imported othergrain,imported othergrain,2060,1
Brazil,regional othergrain,imported othergrain,imported othergrain,2060,1
Canada,regional othergrain,imported othergrain,imported othergrain,2060,1
Central America and Caribbean,regional othergrain,imported othergrain,imported othergrain,2060,1
Central Asia,regional othergrain,imported othergrain,imported othergrain,2060,1
China,regional othergrain,imported othergrain,imported othergrain,2060,1
EU-12,regional othergrain,imported othergrain,imported othergrain,2060,1
EU-15,regional othergrain,imported othergrain,imported othergrain,2060,1
Europe_Eastern,regional othergrain,imported othergrain,imported othergrain,2060,1
Europe_Non_EU,regional othergrain,imported othergrain,imported othergrain,2060,1
European Free Trade Association,regional othergrain,imported othergrain,imported othergrain,2060,1
India,regional othergrain,imported othergrain,imported othergrain,2060,1
Indonesia,regional othergrain,imported othergrain,imported othergrain,2060,1
Japan,regional othergrain,imported othergrain,imported othergrain,2060,1
Mexico,regional othergrain,imported othergrain,imported othergrain,2060,1
Middle East,regional othergrain,imported othergrain,imported othergrain,2060,1
Pakistan,regional othergrain,imported othergrain,imported othergrain,2060,1
Russia,regional othergrain,imported othergrain,imported othergrain,2060,1
South Africa,regional othergrain,imported othergrain,imported othergrain,2060,1
South America_Northern,regional othergrain,imported othergrain,imported othergrain,2060,1
South America_Southern,regional othergrain,imported othergrain,imported othergrain,2060,1
South Asia,regional othergrain,imported othergrain,imported othergrain,2060,1
South Korea,regional othergrain,imported othergrain,imported othergrain,2060,1
Southeast Asia,regional othergrain,imported othergrain,imported othergrain,2060,1
Taiwan,regional othergrain,imported othergrain,imported othergrain,2060,1
Argentina,regional othergrain,imported othergrain,imported othergrain,2060,1
Colombia,regional othergrain,imported othergrain,imported othergrain,2060,1
USA,regional othergrain,imported othergrain,imported othergrain,2065,1
Africa_Eastern,regional othergrain,imported othergrain,imported othergrain,2065,1
Africa_Northern,regional othergrain,imported othergrain,imported othergrain,2065,1
Africa_Southern,regional othergrain,imported othergrain,imported othergrain,2065,1
Africa_Western,regional othergrain,imported othergrain,imported othergrain,2065,1
Australia_NZ,regional othergrain,imported othergrain,imported othergrain,2065,1
Brazil,regional othergrain,imported othergrain,imported othergrain,2065,1
Canada,regional othergrain,imported othergrain,imported othergrain,2065,1
Central America and Caribbean,regional othergrain,imported othergrain,imported othergrain,2065,1
Central Asia,regional othergrain,imported othergrain,imported othergrain,2065,1
China,regional othergrain,imported othergrain,imported othergrain,2065,1
EU-12,regional othergrain,imported othergrain,imported othergrain,2065,1
EU-15,regional othergrain,imported othergrain,imported othergrain,2065,1
Europe_Eastern,regional othergrain,imported othergrain,imported othergrain,2065,1
Europe_Non_EU,regional othergrain,imported othergrain,imported othergrain,2065,1
European Free Trade Association,regional othergrain,imported othergrain,imported othergrain,2065,1
India,regional othergrain,imported othergrain,imported othergrain,2065,1
Indonesia,regional othergrain,imported othergrain,imported othergrain,2065,1
Japan,regional othergrain,imported othergrain,imported othergrain,2065,1
Mexico,regional othergrain,imported othergrain,imported othergrain,2065,1
Middle East,regional othergrain,imported othergrain,imported othergrain,2065,1
Pakistan,regional othergrain,imported othergrain,imported othergrain,2065,1
Russia,regional othergrain,imported othergrain,imported othergrain,2065,1
South Africa,regional othergrain,imported othergrain,imported othergrain,2065,1
South America_Northern,regional othergrain,imported othergrain,imported othergrain,2065,1
South America_Southern,regional othergrain,imported othergrain,imported othergrain,2065,1
South Asia,regional othergrain,imported othergrain,imported othergrain,2065,1
South Korea,regional othergrain,imported othergrain,imported othergrain,2065,1
Southeast Asia,regional othergrain,imported othergrain,imported othergrain,2065,1
Taiwan,regional othergrain,imported othergrain,imported othergrain,2065,1
Argentina,regional othergrain,imported othergrain,imported othergrain,2065,1
Colombia,regional othergrain,imported othergrain,imported othergrain,2065,1
USA,regional othergrain,imported othergrain,imported othergrain,2070,1
Africa_Eastern,regional othergrain,imported othergrain,imported othergrain,2070,1
Africa_Northern,regional othergrain,imported othergrain,imported othergrain,2070,1
Africa_Southern,regional othergrain,imported othergrain,imported othergrain,2070,1
Africa_Western,regional othergrain,imported othergrain,imported othergrain,2070,1
Australia_NZ,regional othergrain,imported othergrain,imported othergrain,2070,1
Brazil,regional othergrain,imported othergrain,imported othergrain,2070,1
Canada,regional othergrain,imported othergrain,imported othergrain,2070,1
Central America and Caribbean,regional othergrain,imported othergrain,imported othergrain,2070,1
Central Asia,regional othergrain,imported othergrain,imported othergrain,2070,1
China,regional othergrain,imported othergrain,imported othergrain,2070,1
EU-12,regional othergrain,imported othergrain,imported othergrain,2070,1
EU-15,regional othergrain,imported othergrain,imported othergrain,2070,1
Europe_Eastern,regional othergrain,imported othergrain,imported othergrain,2070,1
Europe_Non_EU,regional othergrain,imported othergrain,imported othergrain,2070,1
European Free Trade Association,regional othergrain,imported othergrain,imported othergrain,2070,1
India,regional othergrain,imported othergrain,imported othergrain,2070,1
Indonesia,regional othergrain,imported othergrain,imported othergrain,2070,1
Japan,regional othergrain,imported othergrain,imported othergrain,2070,1
Mexico,regional othergrain,imported othergrain,imported othergrain,2070,1
Middle East,regional othergrain,imported othergrain,imported othergrain,2070,1
Pakistan,regional othergrain,imported othergrain,imported othergrain,2070,1
Russia,regional othergrain,imported othergrain,imported othergrain,2070,1
South Africa,regional othergrain,imported othergrain,imported othergrain,2070,1
South America_Northern,regional othergrain,imported othergrain,imported othergrain,2070,1
South America_Southern,regional othergrain,imported othergrain,imported othergrain,2070,1
South Asia,regional othergrain,imported othergrain,imported othergrain,2070,1
South Korea,regional othergrain,imported othergrain,imported othergrain,2070,1
Southeast Asia,regional othergrain,imported othergrain,imported othergrain,2070,1
Taiwan,regional othergrain,imported othergrain,imported othergrain,2070,1
Argentina,regional othergrain,imported othergrain,imported othergrain,2070,1
Colombia,regional othergrain,imported othergrain,imported othergrain,2070,1
USA,regional othergrain,imported othergrain,imported othergrain,2075,1
Africa_Eastern,regional othergrain,imported othergrain,imported othergrain,2075,1
Africa_Northern,regional othergrain,imported othergrain,imported othergrain,2075,1
Africa_Southern,regional othergrain,imported othergrain,imported othergrain,2075,1
Africa_Western,regional othergrain,imported othergrain,imported othergrain,2075,1
Australia_NZ,regional othergrain,imported othergrain,imported othergrain,2075,1
Brazil,regional othergrain,imported othergrain,imported othergrain,2075,1
Canada,regional othergrain,imported othergrain,imported othergrain,2075,1
Central America and Caribbean,regional othergrain,imported othergrain,imported othergrain,2075,1
Central Asia,regional othergrain,imported othergrain,imported othergrain,2075,1
China,regional othergrain,imported othergrain,imported othergrain,2075,1
EU-12,regional othergrain,imported othergrain,imported othergrain,2075,1
EU-15,regional othergrain,imported othergrain,imported othergrain,2075,1
Europe_Eastern,regional othergrain,imported othergrain,imported othergrain,2075,1
Europe_Non_EU,regional othergrain,imported othergrain,imported othergrain,2075,1
European Free Trade Association,regional othergrain,imported othergrain,imported othergrain,2075,1
India,regional othergrain,imported othergrain,imported othergrain,2075,1
Indonesia,regional othergrain,imported othergrain,imported othergrain,2075,1
Japan,regional othergrain,imported othergrain,imported othergrain,2075,1
Mexico,regional othergrain,imported othergrain,imported othergrain,2075,1
Middle East,regional othergrain,imported othergrain,imported othergrain,2075,1
Pakistan,regional othergrain,imported othergrain,imported othergrain,2075,1
Russia,regional othergrain,imported othergrain,imported othergrain,2075,1
South Africa,regional othergrain,imported othergrain,imported othergrain,2075,1
South America_Northern,regional othergrain,imported othergrain,imported othergrain,2075,1
South America_Southern,regional othergrain,imported othergrain,imported othergrain,2075,1
South Asia,regional othergrain,imported othergrain,imported othergrain,2075,1
South Korea,regional othergrain,imported othergrain,imported othergrain,2075,1
Southeast Asia,regional othergrain,imported othergrain,imported othergrain,2075,1
Taiwan,regional othergrain,imported othergrain,imported othergrain,2075,1
Argentina,regional othergrain,imported othergrain,imported othergrain,2075,1
Colombia,regional othergrain,imported othergrain,imported othergrain,2075,1
USA,regional othergrain,imported othergrain,imported othergrain,2080,1
Africa_Eastern,regional othergrain,imported othergrain,imported othergrain,2080,1
Africa_Northern,regional othergrain,imported othergrain,imported othergrain,2080,1
Africa_Southern,regional othergrain,imported othergrain,imported othergrain,2080,1
Africa_Western,regional othergrain,imported othergrain,imported othergrain,2080,1
Australia_NZ,regional othergrain,imported othergrain,imported othergrain,2080,1
Brazil,regional othergrain,imported othergrain,imported othergrain,2080,1
Canada,regional othergrain,imported othergrain,imported othergrain,2080,1
Central America and Caribbean,regional othergrain,imported othergrain,imported othergrain,2080,1
Central Asia,regional othergrain,imported othergrain,imported othergrain,2080,1
China,regional othergrain,imported othergrain,imported othergrain,2080,1
EU-12,regional othergrain,imported othergrain,imported othergrain,2080,1
EU-15,regional othergrain,imported othergrain,imported othergrain,2080,1
Europe_Eastern,regional othergrain,imported othergrain,imported othergrain,2080,1
Europe_Non_EU,regional othergrain,imported othergrain,imported othergrain,2080,1
European Free Trade Association,regional othergrain,imported othergrain,imported othergrain,2080,1
India,regional othergrain,imported othergrain,imported othergrain,2080,1
Indonesia,regional othergrain,imported othergrain,imported othergrain,2080,1
Japan,regional othergrain,imported othergrain,imported othergrain,2080,1
Mexico,regional othergrain,imported othergrain,imported othergrain,2080,1
Middle East,regional othergrain,imported othergrain,imported othergrain,2080,1
Pakistan,regional othergrain,imported othergrain,imported othergrain,2080,1
Russia,regional othergrain,imported othergrain,imported othergrain,2080,1
South Africa,regional othergrain,imported othergrain,imported othergrain,2080,1
South America_Northern,regional othergrain,imported othergrain,imported othergrain,2080,1
South America_Southern,regional othergrain,imported othergrain,imported othergrain,2080,1
South Asia,regional othergrain,imported othergrain,imported othergrain,2080,1
South Korea,regional othergrain,imported othergrain,imported othergrain,2080,1
Southeast Asia,regional othergrain,imported othergrain,imported othergrain,2080,1
Taiwan,regional othergrain,imported othergrain,imported othergrain,2080,1
Argentina,regional othergrain,imported othergrain,imported othergrain,2080,1
Colombia,regional othergrain,imported othergrain,imported othergrain,2080,1
USA,regional othergrain,imported othergrain,imported othergrain,2085,1
Africa_Eastern,regional othergrain,imported othergrain,imported othergrain,2085,1
Africa_Northern,regional othergrain,imported othergrain,imported othergrain,2085,1
Africa_Southern,regional othergrain,imported othergrain,imported othergrain,2085,1
Africa_Western,regional othergrain,imported othergrain,imported othergrain,2085,1
Australia_NZ,regional othergrain,imported othergrain,imported othergrain,2085,1
Brazil,regional othergrain,imported othergrain,imported othergrain,2085,1
Canada,regional othergrain,imported othergrain,imported othergrain,2085,1
Central America and Caribbean,regional othergrain,imported othergrain,imported othergrain,2085,1
Central Asia,regional othergrain,imported othergrain,imported othergrain,2085,1
China,regional othergrain,imported othergrain,imported othergrain,2085,1
EU-12,regional othergrain,imported othergrain,imported othergrain,2085,1
EU-15,regional othergrain,imported othergrain,imported othergrain,2085,1
Europe_Eastern,regional othergrain,imported othergrain,imported othergrain,2085,1
Europe_Non_EU,regional othergrain,imported othergrain,imported othergrain,2085,1
European Free Trade Association,regional othergrain,imported othergrain,imported othergrain,2085,1
India,regional othergrain,imported othergrain,imported othergrain,2085,1
Indonesia,regional othergrain,imported othergrain,imported othergrain,2085,1
Japan,regional othergrain,imported othergrain,imported othergrain,2085,1
Mexico,regional othergrain,imported othergrain,imported othergrain,2085,1
Middle East,regional othergrain,imported othergrain,imported othergrain,2085,1
Pakistan,regional othergrain,imported othergrain,imported othergrain,2085,1
Russia,regional othergrain,imported othergrain,imported othergrain,2085,1
South Africa,regional othergrain,imported othergrain,imported othergrain,2085,1
South America_Northern,regional othergrain,imported othergrain,imported othergrain,2085,1
South America_Southern,regional othergrain,imported othergrain,imported othergrain,2085,1
South Asia,regional othergrain,imported othergrain,imported othergrain,2085,1
South Korea,regional othergrain,imported othergrain,imported othergrain,2085,1
Southeast Asia,regional othergrain,imported othergrain,imported othergrain,2085,1
Taiwan,regional othergrain,imported othergrain,imported othergrain,2085,1
Argentina,regional othergrain,imported othergrain,imported othergrain,2085,1
Colombia,regional othergrain,imported othergrain,imported othergrain,2085,1
USA,regional othergrain,imported othergrain,imported othergrain,2090,1
Africa_Eastern,regional othergrain,imported othergrain,imported othergrain,2090,1
Africa_Northern,regional othergrain,imported othergrain,imported othergrain,2090,1
Africa_Southern,regional othergrain,imported othergrain,imported othergrain,2090,1
Africa_Western,regional othergrain,imported othergrain,imported othergrain,2090,1
Australia_NZ,regional othergrain,imported othergrain,imported othergrain,2090,1
Brazil,regional othergrain,imported othergrain,imported othergrain,2090,1
Canada,regional othergrain,imported othergrain,imported othergrain,2090,1
Central America and Caribbean,regional othergrain,imported othergrain,imported othergrain,2090,1
Central Asia,regional othergrain,imported othergrain,imported othergrain,2090,1
China,regional othergrain,imported othergrain,imported othergrain,2090,1
EU-12,regional othergrain,imported othergrain,imported othergrain,2090,1
EU-15,regional othergrain,imported othergrain,imported othergrain,2090,1
Europe_Eastern,regional othergrain,imported othergrain,imported othergrain,2090,1
Europe_Non_EU,regional othergrain,imported othergrain,imported othergrain,2090,1
European Free Trade Association,regional othergrain,imported othergrain,imported othergrain,2090,1
India,regional othergrain,imported othergrain,imported othergrain,2090,1
Indonesia,regional othergrain,imported othergrain,imported othergrain,2090,1
Japan,regional othergrain,imported othergrain,imported othergrain,2090,1
Mexico,regional othergrain,imported othergrain,imported othergrain,2090,1
Middle East,regional othergrain,imported othergrain,imported othergrain,2090,1
Pakistan,regional othergrain,imported othergrain,imported othergrain,2090,1
Russia,regional othergrain,imported othergrain,imported othergrain,2090,1
South Africa,regional othergrain,imported othergrain,imported othergrain,2090,1
South America_Northern,regional othergrain,imported othergrain,imported othergrain,2090,1
South America_Southern,regional othergrain,imported othergrain,imported othergrain,2090,1
South Asia,regional othergrain,imported othergrain,imported othergrain,2090,1
South Korea,regional othergrain,imported othergrain,imported othergrain,2090,1
Southeast Asia,regional othergrain,imported othergrain,imported othergrain,2090,1
Taiwan,regional othergrain,imported othergrain,imported othergrain,2090,1
Argentina,regional othergrain,imported othergrain,imported othergrain,2090,1
Colombia,regional othergrain,imported othergrain,imported othergrain,2090,1
USA,regional othergrain,imported othergrain,imported othergrain,2095,1
Africa_Eastern,regional othergrain,imported othergrain,imported othergrain,2095,1
Africa_Northern,regional othergrain,imported othergrain,imported othergrain,2095,1
Africa_Southern,regional othergrain,imported othergrain,imported othergrain,2095,1
Africa_Western,regional othergrain,imported othergrain,imported othergrain,2095,1
Australia_NZ,regional othergrain,imported othergrain,imported othergrain,2095,1
Brazil,regional othergrain,imported othergrain,imported othergrain,2095,1
Canada,regional othergrain,imported othergrain,imported othergrain,2095,1
Central America and Caribbean,regional othergrain,imported othergrain,imported othergrain,2095,1
Central Asia,regional othergrain,imported othergrain,imported othergrain,2095,1
