# Exogenous cost to reflect shipping + handling of traded commodities
region,supplysector,subsector,technology,year,minicam.non.energy.input,input.cost
USA,traded misccrop,Indonesia traded misccrop,Indonesia traded misccrop,2065,trade costs,0
USA,traded misccrop,Japan traded misccrop,Japan traded misccrop,2065,trade costs,0
USA,traded misccrop,Mexico traded misccrop,Mexico traded misccrop,2065,trade costs,0
USA,traded misccrop,Middle East traded misccrop,Middle East traded misccrop,2065,trade costs,0
USA,traded misccrop,Pakistan traded misccrop,Pakistan traded misccrop,2065,trade costs,0
USA,traded misccrop,Russia traded misccrop,Russia traded misccrop,2065,trade costs,0
USA,traded misccrop,South Africa traded misccrop,South Africa traded misccrop,2065,trade costs,0
USA,traded misccrop,South America_Northern traded misccrop,South America_Northern traded misccrop,2065,trade costs,0
USA,traded misccrop,South America_Southern traded misccrop,South America_Southern traded misccrop,2065,trade costs,0
USA,traded misccrop,South Asia traded misccrop,South Asia traded misccrop,2065,trade costs,0
USA,traded misccrop,South Korea traded misccrop,South Korea traded misccrop,2065,trade costs,0
USA,traded misccrop,Southeast Asia traded misccrop,Southeast Asia traded misccrop,2065,trade costs,0
USA,traded misccrop,Taiwan traded misccrop,Taiwan traded misccrop,2065,trade costs,0
USA,traded misccrop,Argentina traded misccrop,Argentina traded misccrop,2065,trade costs,0
USA,traded misccrop,Colombia traded misccrop,Colombia traded misccrop,2065,trade costs,0
USA,traded misccrop,USA traded misccrop,USA traded misccrop,2070,trade costs,0
USA,traded misccrop,Africa_Eastern traded misccrop,Africa_Eastern traded misccrop,2070,trade costs,0
USA,traded misccrop,Africa_Northern traded misccrop,Africa_Northern traded misccrop,2070,trade costs,0
USA,traded misccrop,Africa_Southern traded misccrop,Africa_Southern traded misccrop,2070,trade costs,0
USA,traded misccrop,Africa_Western traded misccrop,Africa_Western traded misccrop,2070,trade costs,0
USA,traded misccrop,Australia_NZ traded misccrop,Australia_NZ traded misccrop,2070,trade costs,0
USA,traded misccrop,Brazil traded misccrop,Brazil traded misccrop,2070,trade costs,0
USA,traded misccrop,Canada traded misccrop,Canada traded misccrop,2070,trade costs,0
USA,traded misccrop,Central America and Caribbean traded misccrop,Central America and Caribbean traded misccrop,2070,trade costs,0
USA,traded misccrop,Central Asia traded misccrop,Central Asia traded misccrop,2070,trade costs,0
USA,traded misccrop,China traded misccrop,China traded misccrop,2070,trade costs,0
USA,traded misccrop,EU-12 traded misccrop,EU-12 traded misccrop,2070,trade costs,0
USA,traded misccrop,EU-15 traded misccrop,EU-15 traded misccrop,2070,trade costs,0
USA,traded misccrop,Europe_Eastern traded misccrop,Europe_Eastern traded misccrop,2070,trade costs,0
USA,traded misccrop,Europe_Non_EU traded misccrop,Europe_Non_EU traded misccrop,2070,trade costs,0
USA,traded misccrop,European Free Trade Association traded misccrop,European Free Trade Association traded misccrop,2070,trade costs,0
USA,traded misccrop,India traded misccrop,India traded misccrop,2070,trade costs,0
USA,traded misccrop,Indonesia traded misccrop,Indonesia traded misccrop,2070,trade costs,0
USA,traded misccrop,Japan traded misccrop,Japan traded misccrop,2070,trade costs,0
USA,traded misccrop,Mexico traded misccrop,Mexico traded misccrop,2070,trade costs,0
USA,traded misccrop,Middle East traded misccrop,Middle East traded misccrop,2070,trade costs,0
USA,traded misccrop,Pakistan traded misccrop,Pakistan traded misccrop,2070,trade costs,0
USA,traded misccrop,Russia traded misccrop,Russia traded misccrop,2070,trade costs,0
USA,traded misccrop,South Africa traded misccrop,South Africa traded misccrop,2070,trade costs,0
USA,traded misccrop,South America_Northern traded misccrop,South America_Northern traded misccrop,2070,trade costs,0
USA,traded misccrop,South America_Southern traded misccrop,South America_Southern traded misccrop,2070,trade costs,0
USA,traded misccrop,South Asia traded misccrop,South Asia traded misccrop,2070,trade costs,0
USA,traded misccrop,South Korea traded misccrop,South Korea traded misccrop,2070,trade costs,0
USA,traded misccrop,Southeast Asia traded misccrop,Southeast Asia traded misccrop,2070,trade costs,0
USA,traded misccrop,Taiwan traded misccrop,Taiwan traded misccrop,2070,trade costs,0
USA,traded misccrop,Argentina traded misccrop,Argentina traded misccrop,2070,trade costs,0
USA,traded misccrop,Colombia traded misccrop,Colombia traded misccrop,2070,trade costs,0
USA,traded misccrop,USA traded misccrop,USA traded misccrop,2075,trade costs,0
USA,traded misccrop,Africa_Eastern traded misccrop,Africa_Eastern traded misccrop,2075,trade costs,0
USA,traded misccrop,Africa_Northern traded misccrop,Africa_Northern traded misccrop,2075,trade costs,0
USA,traded misccrop,Africa_Southern traded misccrop,Africa_Southern traded misccrop,2075,trade costs,0
USA,traded misccrop,Africa_Western traded misccrop,Africa_Western traded misccrop,2075,trade costs,0
USA,traded misccrop,Australia_NZ traded misccrop,Australia_NZ traded misccrop,2075,trade costs,0
USA,traded misccrop,Brazil traded misccrop,Brazil traded misccrop,2075,trade costs,0
USA,traded misccrop,Canada traded misccrop,Canada traded misccrop,2075,trade costs,0
USA,traded misccrop,Central America and Caribbean traded misccrop,Central America and Caribbean traded misccrop,2075,trade costs,0
USA,traded misccrop,Central Asia traded misccrop,Central Asia traded misccrop,2075,trade costs,0
USA,traded misccrop,China traded misccrop,China traded misccrop,2075,trade costs,0
USA,traded misccrop,EU-12 traded misccrop,EU-12 traded misccrop,2075,trade costs,0
USA,traded misccrop,EU-15 traded misccrop,EU-15 traded misccrop,2075,trade costs,0
USA,traded misccrop,Europe_Eastern traded misccrop,Europe_Eastern traded misccrop,2075,trade costs,0
USA,traded misccrop,Europe_Non_EU traded misccrop,Europe_Non_EU traded misccrop,2075,trade costs,0
USA,traded misccrop,European Free Trade Association traded misccrop,European Free Trade Association traded misccrop,2075,trade costs,0
USA,traded misccrop,India traded misccrop,India traded misccrop,2075,trade costs,0
USA,traded misccrop,Indonesia traded misccrop,Indonesia traded misccrop,2075,trade costs,0
USA,traded misccrop,Japan traded misccrop,Japan traded misccrop,2075,trade costs,0
USA,traded misccrop,Mexico traded misccrop,Mexico traded misccrop,2075,trade costs,0
USA,traded misccrop,Middle East traded misccrop,Middle East traded misccrop,2075,trade costs,0
USA,traded misccrop,Pakistan traded misccrop,Pakistan traded misccrop,2075,trade costs,0
USA,traded misccrop,Russia traded misccrop,Russia traded misccrop,2075,trade costs,0
USA,traded misccrop,South Africa traded misccrop,South Africa traded misccrop,2075,trade costs,0
USA,traded misccrop,South America_Northern traded misccrop,South America_Northern traded misccrop,2075,trade costs,0
USA,traded misccrop,South America_Southern traded misccrop,South America_Southern traded misccrop,2075,trade costs,0
USA,traded misccrop,South Asia traded misccrop,South Asia traded misccrop,2075,trade costs,0
USA,traded misccrop,South Korea traded misccrop,South Korea traded misccrop,2075,trade costs,0
USA,traded misccrop,Southeast Asia traded misccrop,Southeast Asia traded misccrop,2075,trade costs,0
USA,traded misccrop,Taiwan traded misccrop,Taiwan traded misccrop,2075,trade costs,0
USA,traded misccrop,Argentina traded misccrop,Argentina traded misccrop,2075,trade costs,0
USA,traded misccrop,Colombia traded misccrop,Colombia traded misccrop,2075,trade costs,0
USA,traded misccrop,USA traded misccrop,USA traded misccrop,2080,trade costs,0
USA,traded misccrop,Africa_Eastern traded misccrop,Africa_Eastern traded misccrop,2080,trade costs,0
USA,traded misccrop,Africa_Northern traded misccrop,Africa_Northern traded misccrop,2080,trade costs,0
USA,traded misccrop,Africa_Southern traded misccrop,Africa_Southern traded misccrop,2080,trade costs,0
USA,traded misccrop,Africa_Western traded misccrop,Africa_Western traded misccrop,2080,trade costs,0
USA,traded misccrop,Australia_NZ traded misccrop,Australia_NZ traded misccrop,2080,trade costs,0
USA,traded misccrop,Brazil traded misccrop,Brazil traded misccrop,2080,trade costs,0
USA,traded misccrop,Canada traded misccrop,Canada traded misccrop,2080,trade costs,0
USA,traded misccrop,Central America and Caribbean traded misccrop,Central America and Caribbean traded misccrop,2080,trade costs,0
USA,traded misccrop,Central Asia traded misccrop,Central Asia traded misccrop,2080,trade costs,0
USA,traded misccrop,China traded misccrop,China traded misccrop,2080,trade costs,0
USA,traded misccrop,EU-12 traded misccrop,EU-12 traded misccrop,2080,trade costs,0
USA,traded misccrop,EU-15 traded misccrop,EU-15 traded misccrop,2080,trade costs,0
USA,traded misccrop,Europe_Eastern traded misccrop,Europe_Eastern traded misccrop,2080,trade costs,0
USA,traded misccrop,Europe_Non_EU traded misccrop,Europe_Non_EU traded misccrop,2080,trade costs,0
USA,traded misccrop,European Free Trade Association traded misccrop,European Free Trade Association traded misccrop,2080,trade costs,0
USA,traded misccrop,India traded misccrop,India traded misccrop,2080,trade costs,0
USA,traded misccrop,Indonesia traded misccrop,Indonesia traded misccrop,2080,trade costs,0
USA,traded misccrop,Japan traded misccrop,Japan traded misccrop,2080,trade costs,0
USA,traded misccrop,Mexico traded misccrop,Mexico traded misccrop,2080,trade costs,0
USA,traded misccrop,Middle East traded misccrop,Middle East traded misccrop,2080,trade costs,0
USA,traded misccrop,Pakistan traded misccrop,Pakistan traded misccrop,2080,trade costs,0
USA,traded misccrop,Russia traded misccrop,Russia traded misccrop,2080,trade costs,0
USA,traded misccrop,South Africa traded misccrop,South Africa traded misccrop,2080,trade costs,0
USA,traded misccrop,South America_Northern traded misccrop,South America_Northern traded misccrop,2080,trade costs,0
USA,traded misccrop,South America_Southern traded misccrop,South America_Southern traded misccrop,2080,trade costs,0
USA,traded misccrop,South Asia traded misccrop,South Asia traded misccrop,2080,trade costs,0
USA,traded misccrop,South Korea traded misccrop,South Korea traded misccrop,2080,trade costs,0
USA,traded misccrop,Southeast Asia traded misccrop,Southeast Asia traded misccrop,2080,trade costs,0
USA,traded misccrop,Taiwan traded misccrop,Taiwan traded misccrop,2080,trade costs,0
USA,traded misccrop,Argentina traded misccrop,Argentina traded misccrop,2080,trade costs,0
USA,traded misccrop,Colombia traded misccrop,Colombia traded misccrop,2080,trade costs,0
USA,traded misccrop,USA traded misccrop,USA traded misccrop,2085,trade costs,0
USA,traded misccrop,Africa_Eastern traded misccrop,Africa_Eastern traded misccrop,2085,trade costs,0
USA,traded misccrop,Africa_Northern traded misccrop,Africa_Northern traded misccrop,2085,trade costs,0
USA,traded misccrop,Africa_Southern traded misccrop,Africa_Southern traded misccrop,2085,trade costs,0
USA,traded misccrop,Africa_Western traded misccrop,Africa_Western traded misccrop,2085,trade costs,0
USA,traded misccrop,Australia_NZ traded misccrop,Australia_NZ traded misccrop,2085,trade costs,0
USA,traded misccrop,Brazil traded misccrop,Brazil traded misccrop,2085,trade costs,0
USA,traded misccrop,Canada traded misccrop,Canada traded misccrop,2085,trade costs,0
USA,traded misccrop,Central America and Caribbean traded misccrop,Central America and Caribbean traded misccrop,2085,trade costs,0
USA,traded misccrop,Central Asia traded misccrop,Central Asia traded misccrop,2085,trade costs,0
USA,traded misccrop,China traded misccrop,China traded misccrop,2085,trade costs,0
USA,traded misccrop,EU-12 traded misccrop,EU-12 traded misccrop,2085,trade costs,0
USA,traded misccrop,EU-15 traded misccrop,EU-15 traded misccrop,2085,trade costs,0
USA,traded misccrop,Europe_Eastern traded misccrop,Europe_Eastern traded misccrop,2085,trade costs,0
USA,traded misccrop,Europe_Non_EU traded misccrop,Europe_Non_EU traded misccrop,2085,trade costs,0
USA,traded misccrop,European Free Trade Association traded misccrop,European Free Trade Association traded misccrop,2085,trade costs,0
USA,traded misccrop,India traded misccrop,India traded misccrop,2085,trade costs,0
USA,traded misccrop,Indonesia traded misccrop,Indonesia traded misccrop,2085,trade costs,0
USA,traded misccrop,Japan traded misccrop,Japan traded misccrop,2085,trade costs,0
USA,traded misccrop,Mexico traded misccrop,Mexico traded misccrop,2085,trade costs,0
USA,traded misccrop,Middle East traded misccrop,Middle East traded misccrop,2085,trade costs,0
USA,traded misccrop,Pakistan traded misccrop,Pakistan traded misccrop,2085,trade costs,0
USA,traded misccrop,Russia traded misccrop,Russia traded misccrop,2085,trade costs,0
USA,traded misccrop,South Africa traded misccrop,South Africa traded misccrop,2085,trade costs,0
USA,traded misccrop,South America_Northern traded misccrop,South America_Northern traded misccrop,2085,trade costs,0
USA,traded misccrop,South America_Southern traded misccrop,South America_Southern traded misccrop,2085,trade costs,0
USA,traded misccrop,South Asia traded misccrop,South Asia traded misccrop,2085,trade costs,0
USA,traded misccrop,South Korea traded misccrop,South Korea traded misccrop,2085,trade costs,0
USA,traded misccrop,Southeast Asia traded misccrop,Southeast Asia traded misccrop,2085,trade costs,0
USA,traded misccrop,Taiwan traded misccrop,Taiwan traded misccrop,2085,trade costs,0
USA,traded misccrop,Argentina traded misccrop,Argentina traded misccrop,2085,trade costs,0
USA,traded misccrop,Colombia traded misccrop,Colombia traded misccrop,2085,trade costs,0
USA,traded misccrop,USA traded misccrop,USA traded misccrop,2090,trade costs,0
USA,traded misccrop,Africa_Eastern traded misccrop,Africa_Eastern traded misccrop,2090,trade costs,0
USA,traded misccrop,Africa_Northern traded misccrop,Africa_Northern traded misccrop,2090,trade costs,0
USA,traded misccrop,Africa_Southern traded misccrop,Africa_Southern traded misccrop,2090,trade costs,0
USA,traded misccrop,Africa_Western traded misccrop,Africa_Western traded misccrop,2090,trade costs,0
USA,traded misccrop,Australia_NZ traded misccrop,Australia_NZ traded misccrop,2090,trade costs,0
USA,traded misccrop,Brazil traded misccrop,Brazil traded misccrop,2090,trade costs,0
USA,traded misccrop,Canada traded misccrop,Canada traded misccrop,2090,trade costs,0
USA,traded misccrop,Central America and Caribbean traded misccrop,Central America and Caribbean traded misccrop,2090,trade costs,0
USA,traded misccrop,Central Asia traded misccrop,Central Asia traded misccrop,2090,trade costs,0
USA,traded misccrop,China traded misccrop,China traded misccrop,2090,trade costs,0
USA,traded misccrop,EU-12 traded misccrop,EU-12 traded misccrop,2090,trade costs,0
USA,traded misccrop,EU-15 traded misccrop,EU-15 traded misccrop,2090,trade costs,0
USA,traded misccrop,Europe_Eastern traded misccrop,Europe_Eastern traded misccrop,2090,trade costs,0
USA,traded misccrop,Europe_Non_EU traded misccrop,Europe_Non_EU traded misccrop,2090,trade costs,0
USA,traded misccrop,European Free Trade Association traded misccrop,European Free Trade Association traded misccrop,2090,trade costs,0
USA,traded misccrop,India traded misccrop,India traded misccrop,2090,trade costs,0
USA,traded misccrop,Indonesia traded misccrop,Indonesia traded misccrop,2090,trade costs,0
USA,traded misccrop,Japan traded misccrop,Japan traded misccrop,2090,trade costs,0
USA,traded misccrop,Mexico traded misccrop,Mexico traded misccrop,2090,trade costs,0
USA,traded misccrop,Middle East traded misccrop,Middle East traded misccrop,2090,trade costs,0
USA,traded misccrop,Pakistan traded misccrop,Pakistan traded misccrop,2090,trade costs,0
USA,traded misccrop,Russia traded misccrop,Russia traded misccrop,2090,trade costs,0
USA,traded misccrop,South Africa traded misccrop,South Africa traded misccrop,2090,trade costs,0
USA,traded misccrop,South America_Northern traded misccrop,South America_Northern traded misccrop,2090,trade costs,0
USA,traded misccrop,South America_Southern traded misccrop,South America_Southern traded misccrop,2090,trade costs,0
USA,traded misccrop,South Asia traded misccrop,South Asia traded misccrop,2090,trade costs,0
USA,traded misccrop,South Korea traded misccrop,South Korea traded misccrop,2090,trade costs,0
USA,traded misccrop,Southeast Asia traded misccrop,Southeast Asia traded misccrop,2090,trade costs,0
USA,traded misccrop,Taiwan traded misccrop,Taiwan traded misccrop,2090,trade costs,0
USA,traded misccrop,Argentina traded misccrop,Argentina traded misccrop,2090,trade costs,0
USA,traded misccrop,Colombia traded misccrop,Colombia traded misccrop,2090,trade costs,0
USA,traded misccrop,USA traded misccrop,USA traded misccrop,2095,trade costs,0
USA,traded misccrop,Africa_Eastern traded misccrop,Africa_Eastern traded misccrop,2095,trade costs,0
USA,traded misccrop,Africa_Northern traded misccrop,Africa_Northern traded misccrop,2095,trade costs,0
USA,traded misccrop,Africa_Southern traded misccrop,Africa_Southern traded misccrop,2095,trade costs,0
USA,traded misccrop,Africa_Western traded misccrop,Africa_Western traded misccrop,2095,trade costs,0
USA,traded misccrop,Australia_NZ traded misccrop,Australia_NZ traded misccrop,2095,trade costs,0
USA,traded misccrop,Brazil traded misccrop,Brazil traded misccrop,2095,trade costs,0
USA,traded misccrop,Canada traded misccrop,Canada traded misccrop,2095,trade costs,0
USA,traded misccrop,Central America and Caribbean traded misccrop,Central America and Caribbean traded misccrop,2095,trade costs,0
USA,traded misccrop,Central Asia traded misccrop,Central Asia traded misccrop,2095,trade costs,0
USA,traded misccrop,China traded misccrop,China traded misccrop,2095,trade costs,0
USA,traded misccrop,EU-12 traded misccrop,EU-12 traded misccrop,2095,trade costs,0
USA,traded misccrop,EU-15 traded misccrop,EU-15 traded misccrop,2095,trade costs,0
USA,traded misccrop,Europe_Eastern traded misccrop,Europe_Eastern traded misccrop,2095,trade costs,0
USA,traded misccrop,Europe_Non_EU traded misccrop,Europe_Non_EU traded misccrop,2095,trade costs,0
USA,traded misccrop,European Free Trade Association traded misccrop,European Free Trade Association traded misccrop,2095,trade costs,0
USA,traded misccrop,India traded misccrop,India traded misccrop,2095,trade costs,0
USA,traded misccrop,Indonesia traded misccrop,Indonesia traded misccrop,2095,trade costs,0
USA,traded misccrop,Japan traded misccrop,Japan traded misccrop,2095,trade costs,0
USA,traded misccrop,Mexico traded misccrop,Mexico traded misccrop,2095,trade costs,0
USA,traded misccrop,Middle East traded misccrop,Middle East traded misccrop,2095,trade costs,0
USA,traded misccrop,Pakistan traded misccrop,Pakistan traded misccrop,2095,trade costs,0
USA,traded misccrop,Russia traded misccrop,Russia traded misccrop,2095,trade costs,0
USA,traded misccrop,South Africa traded misccrop,South Africa traded misccrop,2095,trade costs,0
USA,traded misccrop,South America_Northern traded misccrop,South America_Northern traded misccrop,2095,trade costs,0
USA,traded misccrop,South America_Southern traded misccrop,South America_Southern traded misccrop,2095,trade costs,0
USA,traded misccrop,South Asia traded misccrop,South Asia traded misccrop,2095,trade costs,0
USA,traded misccrop,South Korea traded misccrop,South Korea traded misccrop,2095,trade costs,0
USA,traded misccrop,Southeast Asia traded misccrop,Southeast Asia traded misccrop,2095,trade costs,0
USA,traded misccrop,Taiwan traded misccrop,Taiwan traded misccrop,2095,trade costs,0
USA,traded misccrop,Argentina traded misccrop,Argentina traded misccrop,2095,trade costs,0
USA,traded misccrop,Colombia traded misccrop,Colombia traded misccrop,2095,trade costs,0
USA,traded misccrop,USA traded misccrop,USA traded misccrop,2100,trade costs,0
USA,traded misccrop,Africa_Eastern traded misccrop,Africa_Eastern traded misccrop,2100,trade costs,0
USA,traded misccrop,Africa_Northern traded misccrop,Africa_Northern traded misccrop,2100,trade costs,0
USA,traded misccrop,Africa_Southern traded misccrop,Africa_Southern traded misccrop,2100,trade costs,0
USA,traded misccrop,Africa_Western traded misccrop,Africa_Western traded misccrop,2100,trade costs,0
USA,traded misccrop,Australia_NZ traded misccrop,Australia_NZ traded misccrop,2100,trade costs,0
USA,traded misccrop,Brazil traded misccrop,Brazil traded misccrop,2100,trade costs,0
USA,traded misccrop,Canada traded misccrop,Canada traded misccrop,2100,trade costs,0
USA,traded misccrop,Central America and Caribbean traded misccrop,Central America and Caribbean traded misccrop,2100,trade costs,0
USA,traded misccrop,Central Asia traded misccrop,Central Asia traded misccrop,2100,trade costs,0
USA,traded misccrop,China traded misccrop,China traded misccrop,2100,trade costs,0
USA,traded misccrop,EU-12 traded misccrop,EU-12 traded misccrop,2100,trade costs,0
USA,traded misccrop,EU-15 traded misccrop,EU-15 traded misccrop,2100,trade costs,0
USA,traded misccrop,Europe_Eastern traded misccrop,Europe_Eastern traded misccrop,2100,trade costs,0
USA,traded misccrop,Europe_Non_EU traded misccrop,Europe_Non_EU traded misccrop,2100,trade costs,0
USA,traded misccrop,European Free Trade Association traded misccrop,European Free Trade Association traded misccrop,2100,trade costs,0
USA,traded misccrop,India traded misccrop,India traded misccrop,2100,trade costs,0
USA,traded misccrop,Indonesia traded misccrop,Indonesia traded misccrop,2100,trade costs,0
USA,traded misccrop,Japan traded misccrop,Japan traded misccrop,2100,trade costs,0
USA,traded misccrop,Mexico traded misccrop,Mexico traded misccrop,2100,trade costs,0
USA,traded misccrop,Middle East traded misccrop,Middle East traded misccrop,2100,trade costs,0
USA,traded misccrop,Pakistan traded misccrop,Pakistan traded misccrop,2100,trade costs,0
USA,traded misccrop,Russia traded misccrop,Russia traded misccrop,2100,trade costs,0
USA,traded misccrop,South Africa traded misccrop,South Africa traded misccrop,2100,trade costs,0
USA,traded misccrop,South America_Northern traded misccrop,South America_Northern traded misccrop,2100,trade costs,0
USA,traded misccrop,South America_Southern traded misccrop,South America_Southern traded misccrop,2100,trade costs,0
USA,traded misccrop,South Asia traded misccrop,South Asia traded misccrop,2100,trade costs,0
USA,traded misccrop,South Korea traded misccrop,South Korea traded misccrop,2100,trade costs,0
USA,traded misccrop,Southeast Asia traded misccrop,Southeast Asia traded misccrop,2100,trade costs,0
USA,traded misccrop,Taiwan traded misccrop,Taiwan traded misccrop,2100,trade costs,0
USA,traded misccrop,Argentina traded misccrop,Argentina traded misccrop,2100,trade costs,0
USA,traded misccrop,Colombia traded misccrop,Colombia traded misccrop,2100,trade costs,0
USA,traded oilcrop,USA traded oilcrop,USA traded oilcrop,1975,trade costs,0
USA,traded oilcrop,Africa_Eastern traded oilcrop,Africa_Eastern traded oilcrop,1975,trade costs,0
USA,traded oilcrop,Africa_Northern traded oilcrop,Africa_Northern traded oilcrop,1975,trade costs,0
USA,traded oilcrop,Africa_Southern traded oilcrop,Africa_Southern traded oilcrop,1975,trade costs,0
USA,traded oilcrop,Africa_Western traded oilcrop,Africa_Western traded oilcrop,1975,trade costs,0
USA,traded oilcrop,Australia_NZ traded oilcrop,Australia_NZ traded oilcrop,1975,trade costs,0
USA,traded oilcrop,Brazil traded oilcrop,Brazil traded oilcrop,1975,trade costs,0
USA,traded oilcrop,Canada traded oilcrop,Canada traded oilcrop,1975,trade costs,0
USA,traded oilcrop,Central America and Caribbean traded oilcrop,Central America and Caribbean traded oilcrop,1975,trade costs,0
USA,traded oilcrop,Central Asia traded oilcrop,Central Asia traded oilcrop,1975,trade costs,0
USA,traded oilcrop,China traded oilcrop,China traded oilcrop,1975,trade costs,0
USA,traded oilcrop,EU-12 traded oilcrop,EU-12 traded oilcrop,1975,trade costs,0
USA,traded oilcrop,EU-15 traded oilcrop,EU-15 traded oilcrop,1975,trade costs,0
USA,traded oilcrop,Europe_Eastern traded oilcrop,Europe_Eastern traded oilcrop,1975,trade costs,0
USA,traded oilcrop,Europe_Non_EU traded oilcrop,Europe_Non_EU traded oilcrop,1975,trade costs,0
USA,traded oilcrop,European Free Trade Association traded oilcrop,European Free Trade Association traded oilcrop,1975,trade costs,0
USA,traded oilcrop,India traded oilcrop,India traded oilcrop,1975,trade costs,0
USA,traded oilcrop,Indonesia traded oilcrop,Indonesia traded oilcrop,1975,trade costs,0
USA,traded oilcrop,Japan traded oilcrop,Japan traded oilcrop,1975,trade costs,0
USA,traded oilcrop,Mexico traded oilcrop,Mexico traded oilcrop,1975,trade costs,0
USA,traded oilcrop,Middle East traded oilcrop,Middle East traded oilcrop,1975,trade costs,0
USA,traded oilcrop,Pakistan traded oilcrop,Pakistan traded oilcrop,1975,trade costs,0
USA,traded oilcrop,Russia traded oilcrop,Russia traded oilcrop,1975,trade costs,0
USA,traded oilcrop,South Africa traded oilcrop,South Africa traded oilcrop,1975,trade costs,0
USA,traded oilcrop,South America_Northern traded oilcrop,South America_Northern traded oilcrop,1975,trade costs,0
USA,traded oilcrop,South America_Southern traded oilcrop,South America_Southern traded oilcrop,1975,trade costs,0
USA,traded oilcrop,South Asia traded oilcrop,South Asia traded oilcrop,1975,trade costs,0
USA,traded oilcrop,South Korea traded oilcrop,South Korea traded oilcrop,1975,trade costs,0
USA,traded oilcrop,Southeast Asia traded oilcrop,Southeast Asia traded oilcrop,1975,trade costs,0
USA,traded oilcrop,Taiwan traded oilcrop,Taiwan traded oilcrop,1975,trade costs,0
USA,traded oilcrop,Argentina traded oilcrop,Argentina traded oilcrop,1975,trade costs,0
USA,traded oilcrop,Colombia traded oilcrop,Colombia traded oilcrop,1975,trade costs,0
USA,traded oilcrop,USA traded oilcrop,USA traded oilcrop,1990,trade costs,0
USA,traded oilcrop,Africa_Eastern traded oilcrop,Africa_Eastern traded oilcrop,1990,trade costs,0
USA,traded oilcrop,Africa_Northern traded oilcrop,Africa_Northern traded oilcrop,1990,trade costs,0
USA,traded oilcrop,Africa_Southern traded oilcrop,Africa_Southern traded oilcrop,1990,trade costs,0
USA,traded oilcrop,Africa_Western traded oilcrop,Africa_Western traded oilcrop,1990,trade costs,0
USA,traded oilcrop,Australia_NZ traded oilcrop,Australia_NZ traded oilcrop,1990,trade costs,0
USA,traded oilcrop,Brazil traded oilcrop,Brazil traded oilcrop,1990,trade costs,0
USA,traded oilcrop,Canada traded oilcrop,Canada traded oilcrop,1990,trade costs,0
USA,traded oilcrop,Central America and Caribbean traded oilcrop,Central America and Caribbean traded oilcrop,1990,trade costs,0
USA,traded oilcrop,Central Asia traded oilcrop,Central Asia traded oilcrop,1990,trade costs,0
USA,traded oilcrop,China traded oilcrop,China traded oilcrop,1990,trade costs,0
USA,traded oilcrop,EU-12 traded oilcrop,EU-12 traded oilcrop,1990,trade costs,0
USA,traded oilcrop,EU-15 traded oilcrop,EU-15 traded oilcrop,1990,trade costs,0
USA,traded oilcrop,Europe_Eastern traded oilcrop,Europe_Eastern traded oilcrop,1990,trade costs,0
USA,traded oilcrop,Europe_Non_EU traded oilcrop,Europe_Non_EU traded oilcrop,1990,trade costs,0
USA,traded oilcrop,European Free Trade Association traded oilcrop,European Free Trade Association traded oilcrop,1990,trade costs,0
USA,traded oilcrop,India traded oilcrop,India traded oilcrop,1990,trade costs,0
USA,traded oilcrop,Indonesia traded oilcrop,Indonesia traded oilcrop,1990,trade costs,0
USA,traded oilcrop,Japan traded oilcrop,Japan traded oilcrop,1990,trade costs,0
USA,traded oilcrop,Mexico traded oilcrop,Mexico traded oilcrop,1990,trade costs,0
USA,traded oilcrop,Middle East traded oilcrop,Middle East traded oilcrop,1990,trade costs,0
USA,traded oilcrop,Pakistan traded oilcrop,Pakistan traded oilcrop,1990,trade costs,0
USA,traded oilcrop,Russia traded oilcrop,Russia traded oilcrop,1990,trade costs,0
USA,traded oilcrop,South Africa traded oilcrop,South Africa traded oilcrop,1990,trade costs,0
USA,traded oilcrop,South America_Northern traded oilcrop,South America_Northern traded oilcrop,1990,trade costs,0
USA,traded oilcrop,South America_Southern traded oilcrop,South America_Southern traded oilcrop,1990,trade costs,0
USA,traded oilcrop,South Asia traded oilcrop,South Asia traded oilcrop,1990,trade costs,0
USA,traded oilcrop,South Korea traded oilcrop,South Korea traded oilcrop,1990,trade costs,0
USA,traded oilcrop,Southeast Asia traded oilcrop,Southeast Asia traded oilcrop,1990,trade costs,0
USA,traded oilcrop,Taiwan traded oilcrop,Taiwan traded oilcrop,1990,trade costs,0
USA,traded oilcrop,Argentina traded oilcrop,Argentina traded oilcrop,1990,trade costs,0
USA,traded oilcrop,Colombia traded oilcrop,Colombia traded oilcrop,1990,trade costs,0
USA,traded oilcrop,USA traded oilcrop,USA traded oilcrop,2005,trade costs,0
USA,traded oilcrop,Africa_Eastern traded oilcrop,Africa_Eastern traded oilcrop,2005,trade costs,0
USA,traded oilcrop,Africa_Northern traded oilcrop,Africa_Northern traded oilcrop,2005,trade costs,0
USA,traded oilcrop,Africa_Southern traded oilcrop,Africa_Southern traded oilcrop,2005,trade costs,0
USA,traded oilcrop,Africa_Western traded oilcrop,Africa_Western traded oilcrop,2005,trade costs,0
USA,traded oilcrop,Australia_NZ traded oilcrop,Australia_NZ traded oilcrop,2005,trade costs,0
USA,traded oilcrop,Brazil traded oilcrop,Brazil traded oilcrop,2005,trade costs,0
